birth,location,date
1918,"Berlin, Germany",1918.01.01
1919,"Berlin, Germany",1919.01.01
1919,"Berlin, Germany",1919.01.01
1920,"Berlin, Germany",1920.01.01
1921,"Berlin, Germany",1921.01.01
1921,"Berlin, Germany",1921.01.01
1921,"Berlin, Germany",1921.01.01
1921,"Berlin, Germany",1921.01.01
1921,"Berlin, Germany",1921.01.01
1922,"Berlin, Germany",1922.01.01
1922,"Berlin, Germany",1922.01.01
1922,"Berlin, Germany",1922.01.01
1922,"Berlin, Germany",1922.01.01
1923,"Berlin, Germany",1923.01.01
1923,"Berlin, Germany",1923.01.01
1923,"Berlin, Germany",1923.01.01
1923,"Berlin, Germany",1923.01.01
1924,"Berlin, Germany",1924.01.01
1925,"Berlin, Germany",1925.01.01
1925,"Berlin, Germany",1925.01.01
1926,"Berlin, Germany",1926.01.01
1926,"Berlin, Germany",1926.01.01
1926,"Berlin, Germany",1926.01.01
1927,"Berlin, Germany",1927.01.01
1927,"Berlin, Germany",1927.01.01
1927,"Berlin, Germany",1927.01.01
1927,"Berlin, Germany",1927.01.01
1927,"Berlin, Germany",1927.01.01
1927,"Berlin, Germany",1927.01.01
1927,"Berlin, Germany",1927.01.01
1928,"Berlin, Germany",1928.01.01
1928,"Berlin, Germany",1928.01.01
1928,"Berlin, Germany",1928.01.01
1929,"Berlin, Germany",1929.01.01
1929,"Berlin, Germany",1929.01.01
1929,"Berlin, Germany",1929.01.01
1930,"Berlin, Germany",1930.01.01
1934,"Berlin, Germany",1934.01.01
1935,"Berlin, Germany",1935.01.01
1937,"Berlin, Germany",1937.01.01
1938,"Berlin, Germany",1938.01.01
1941,"Berlin, Germany",1941.01.01
1926,"Betlen, Romania",1926.01.01
1906,"Beuthen Oberschlesien, Germany",1906.01.01
1867,"Beuthen, Germany",1867.01.01
1886,"Beuthen, Germany",1886.01.01
1890,"Beuthen, Germany",1890.01.01
1921,"Beuthen, Germany",1921.01.01
1880,"Bezdan, Yugoslavia",1880.01.01
1886,"Bezdan, Yugoslavia",1886.01.01
1886,"Bezdan, Yugoslavia",1886.01.01
1886,"Bezdan, Yugoslavia",1886.01.01
1886,"Bezdan, Yugoslavia",1886.01.01
1897,"Bezdan, Yugoslavia",1897.01.01
1903,"Bezdan, Yugoslavia",1903.01.01
1919,"Bezdan, Yugoslavia",1919.01.01
1922,"Bezdan, Yugoslavia",1922.01.01
1893,"Będzin, Poland",1893.01.01
1900,"Będzin, Poland",1900.01.01
1902,"Będzin, Poland",1902.01.01
1903,"Będzin, Poland",1903.01.01
1916,"Będzin, Poland",1916.01.01
1925,"Będzin, Poland",1925.01.01
1925,"Będzin, Poland",1925.01.01
1927,"Będzin, Poland",1927.01.01
1896,"Biala Podlaska, Poland",1896.01.01
